rawData	tokens	sentiment	Category
BREAKING: Biden’s Secretary of State Antony Blinken strongly condemns Putin’s move to recognize two separatist regions in Ukraine as independent as a “shameful act” and says America will stand with Ukraine. RT IF YOU’RE PROUD TO HAVE STRONG AMERICAN LEADERSHIP!	breaking bidens secretary state antony blinken strongly condemns putin move recognize two separatist region ukraine independent shameful act say america stand ukraine rt youre proud strong american leadership	0.25	Neutral
BREAKING: CNN releases bombshell report exposing Joe Rogan's role in encouraging Russia to invade Ukraine.	breaking cnn release bombshell report exposing joe rogans role encouraging russia invade ukraine	0.3182	Neutral
BREAKING: I'm hearing reports that famed veteran of Kosovo war
BREAKING: International Criminal Court opens probe into possible war crimes in Ukraine	breaking international criminal court open probe possible war crime ukraine	-0.8074	Negative
BREAKING: International Criminal Court who stayed silent on Genocides in Palestine
BREAKING: Israel decided to evacuate its embassy in Kyiv &amp; move its diplomats to an alternative office in Lviv in Western Ukraine 30 miles from the border with Poland amid growing concerns about a Russian invasion of Ukraine
BREAKING: Mainstream media manufactures hype around @CNN and @joerogan war after their attempts to ignite US-Russia war in Ukraine seems to fail. One @WhiteHouse official told us they're jonesing for a new war after Afghanistan....	breaking mainstream medium manufacture hype around war attempt ignite usrussia war ukraine seems fail one official told u theyre jonesing new war afghanistan	-0.9451	Negative
BREAKING: NATO Secretary General Jens Stoltenberg: 'We are monitoring very closely what Russia does in and around #Ukraine. They have increased the number of troops and more troops are on their way.' https://t.co/wIy2GefYSR	breaking nato secretary general jens stoltenberg monitoring closely russia around ukraine increased number troop troop way	0.34	Neutral
BREAKING: NATO has relocated Ukraine staff from the capital Kyiv to Lviv in the west of the country and to Brussels for safety reasons
BREAKING: PM warns of 'grim days ahead for Ukraine' https://t.co/Eef6RAGHIG via @YouTube - 🛑Act Now Putin✋Stop This War✊🙏🇬🇧♿️	breaking pm warns grim day ahead ukraine via act putinstop war	-0.8666	Negative
BREAKING: POLAND SAYS US CITIZENS CAN ENTER THE COUNTRY THROUGH ITS BORDER WITH UKRAINE WITHOUT ADVANCED APPROVAL
BREAKING: PUTIN SENDS RUSSIAN TROOPS INTO UKRAINE AND MASSES FORCES ON BORDER OF NEIGHBOURING GEORGIA.	breaking putin sends troop ukraine mass force border neighbouring georgia	0.0	Neutral
BREAKING: Poland’s prime minister warned that Russia may attempt to block the more than 300-mile border it shares with Ukraine.	breaking poland prime minister warned russia may attempt block mile border share ukraine	-0.4215	Neutral
